,xk,wk,uk,xkp1,wkp1,fL_k,fU_k,gL_k,gU_k,fBL_k,fBU_k
2988,[-1.27181649],[-3.26068502],[16.06136401],[-1.33703019],[-2.40901865],[-3.46867269],[-2.6492013],[0.01632653],[0.048],[-4.95667269],[-1.98067269]
2989,[-1.9390382],[-3.55489111],[-22.37648601],[-2.01013603],[-3.44169658],[-3.83586163],[-2.72883779],[0.01632653],[0.048],[-5.32386163],[-2.34786163]
2990,[1.96279405],[1.53263922],[29.86398669],[1.99344684],[1.90476019],[1.2935763],[2.23548421],[0.01632653],[0.048],[-0.1944237],[2.7815763]
2991,[4.50142475],[1.57827518],[-28.04116726],[4.53299025],[1.09846465],[1.65482585],[1.35321622],[0.01632653],[0.048],[0.16682585],[3.14282585]
2992,[1.30295966],[-1.43893386],[5.66638268],[1.27418098],[-1.43663288],[-1.6751665],[-0.74440992],[0.01632653],[0.048],[-3.1631665],[-0.1871665]
2993,[2.72727496],[-2.3466537],[-21.50387658],[2.68034189],[-2.6918626],[-2.60673962],[-1.58200111],[0.01632653],[0.048],[-4.09473962],[-1.11873962]
2994,[-0.4947587],[4.24774617],[-2.86280993],[-0.40980378],[3.70425616],[3.70310812],[5.84898204],[0.01632653],[0.048],[2.21510812],[5.19110812]
2995,[4.712772],[0.74375654],[-24.58371855],[4.72764713],[0.40230606],[0.89088],[0.31121355],[0.01632653],[0.048],[-0.59712],[2.37888]
2996,[3.23662997],[0.85839174],[-27.46140275],[3.25379781],[0.27899953],[0.84665719],[0.8928913],[0.01632653],[0.048],[-0.64134281],[2.33465719]
2997,[-2.66058992],[-4.87327713],[-11.38284177],[-2.75805546],[-4.26416897],[-5.61675303],[-2.68745799],[0.01632653],[0.048],[-7.10475303],[-4.12875303]
2998,[3.34195437],[-1.75378364],[3.01171863],[3.3068787],[-1.5533976],[-1.82864359],[-1.53369538],[0.01632653],[0.048],[-3.31664359],[-0.34064359]
2999,[4.05758848],[-3.66388885],[18.91503804],[3.9843107],[-2.69218306],[-3.99555527],[-2.68878958],[0.01632653],[0.048],[-5.48355527],[-2.50755527]
3000,[2.31632481],[1.07033145],[3.54708502],[2.33773144],[0.96812349],[0.90469427],[1.55730475],[0.01632653],[0.048],[-0.58330573],[2.39269427]
3001,[3.04500051],[-3.30686354],[-22.30689451],[2.97886324],[-3.43811116],[-3.70260217],[-2.14339197],[0.01632653],[0.048],[-5.19060217],[-2.21460217]
3002,[-0.27509165],[-1.23775687],[-1.11281872],[-0.29984679],[-1.16340526],[-1.24713584],[-1.2101827],[0.01632653],[0.048],[-2.73513584],[0.24086416]
3003,[1.31842081],[2.3317296],[-6.41027146],[1.3650554],[1.84395951],[1.97871385],[3.36959593],[0.01632653],[0.048],[0.49071385],[3.46671385]
3004,[-0.19904331],[2.21423318],[-20.18078132],[-0.15475864],[1.67754263],[2.07613717],[2.62023545],[0.01632653],[0.048],[0.58813717],[3.56413717]
3005,[4.93029412],[-0.83267731],[22.63564591],[4.91364057],[-0.15695471],[-0.69437371],[-1.2392899],[0.01632653],[0.048],[-2.18237371],[0.79362629]
3006,[1.62484761],[3.69796309],[-11.97790279],[1.69880687],[2.82537831],[3.05571594],[5.58616969],[0.01632653],[0.048],[1.56771594],[4.54371594]
3007,[-1.85815721],[2.18332499],[8.85687694],[-1.81449071],[2.39491846],[2.17820086],[2.19838992],[0.01632653],[0.048],[0.69020086],[3.66620086]
3008,[-3.47744195],[2.50781014],[-7.35831296],[-3.42728575],[2.09015759],[2.23304119],[3.31563083],[0.01632653],[0.048],[0.74504119],[3.72104119]
3009,[0.43750542],[-1.02866762],[-16.16579782],[0.41693206],[-1.41293328],[-1.13887235],[-0.70466571],[0.01632653],[0.048],[-2.62687235],[0.34912765]
3010,[3.4978422],[4.61185828],[-21.11479484],[3.59007936],[3.55781441],[3.9347122],[6.60266776],[0.01632653],[0.048],[2.4467122],[5.4227122]
3011,[-4.30395528],[-0.19383544],[24.87221897],[-4.30783199],[0.15356759],[-0.3520954],[0.27144882],[0.01632653],[0.048],[-1.8400954],[1.1359046]
3012,[4.79421469],[2.4643412],[-21.54075208],[4.84350152],[2.00982286],[2.42051493],[2.59319041],[0.01632653],[0.048],[0.93251493],[3.90851493]
3013,[1.80285986],[-4.13964624],[11.27688446],[1.72006694],[-3.54086548],[-4.89702263],[-1.91295966],[0.01632653],[0.048],[-6.38502263],[-3.40902263]
3014,[1.26032844],[2.30695063],[1.89103361],[1.30646746],[1.9987126],[1.96061772],[3.32516938],[0.01632653],[0.048],[0.47261772],[3.44861772]
3015,[4.08671396],[-1.64303321],[27.88133806],[4.0538533],[-0.82341845],[-1.60186359],[-1.76407188],[0.01632653],[0.048],[-3.08986359],[-0.11386359]
3016,[1.31414859],[-2.43464301],[2.42902929],[1.26545573],[-2.37727329],[-2.80439637],[-1.34756813],[0.01632653],[0.048],[-4.29239637],[-1.31639637]
3017,[3.66707861],[-1.13480808],[-4.94967428],[3.64438245],[-1.10054149],[-1.09700443],[-1.24595083],[0.01632653],[0.048],[-2.58500443],[0.39099557]
3018,[1.03782366],[-2.12478205],[19.21941671],[0.99532802],[-1.74384984],[-2.42795295],[-1.23345961],[0.01632653],[0.048],[-3.91595295],[-0.93995295]
3019,[-3.49400446],[0.02666033],[-19.16891119],[-3.49347126],[-0.43918771],[-0.03384003],[0.2045314],[0.01632653],[0.048],[-1.52184003],[1.45415997]
3020,[1.00212054],[-2.05797451],[11.82302017],[0.96096105],[-1.83639734],[-2.34835834],[-1.20424607],[0.01632653],[0.048],[-3.83635834],[-0.86035834]
3021,[-4.47350894],[2.92284697],[1.02087189],[-4.415052],[2.48889727],[2.46214537],[4.27730966],[0.01632653],[0.048],[0.97414537],[3.95014537]
3022,[-2.82418466],[2.22751269],[1.62890261],[-2.77963441],[2.15953808],[2.10665579],[2.58283198],[0.01632653],[0.048],[0.61865579],[3.59465579]
3023,[0.60073135],[3.270897],[-25.74753499],[0.66614929],[2.29010668],[2.80431817],[4.64263876],[0.01632653],[0.048],[1.31631817],[4.29231817]
3024,[2.05359112],[1.05453501],[8.64405781],[2.07468182],[1.03162208],[0.86461472],[1.61290068],[0.01632653],[0.048],[-0.62338528],[2.35261472]
3025,[0.14821994],[2.09268121],[-6.1564809],[0.19007357],[1.79965929],[1.91443551],[2.61672355],[0.01632653],[0.048],[0.42643551],[3.40243551]
3026,[4.4359615],[2.45758769],[-5.95919174],[4.48511325],[2.32095852],[2.40907438],[2.60021682],[0.01632653],[0.048],[0.92107438],[3.89707438]
3027,[-0.21574242],[1.89706647],[-29.68418738],[-0.17780109],[1.2072802],[1.80669986],[2.1627443],[0.01632653],[0.048],[0.31869986],[3.29469986]
3028,[1.13434675],[-1.0029372],[18.31762659],[1.114288],[-0.76084175],[-1.19266005],[-0.44515201],[0.01632653],[0.048],[-2.68066005],[0.29533995]
3029,[-1.90034394],[-2.41505902],[13.32211255],[-1.94864512],[-1.77366328],[-2.45909534],[-2.28559224],[0.01632653],[0.048],[-3.94709534],[-0.97109534]
3030,[1.8043582],[1.64670546],[24.55614873],[1.83729231],[1.88805931],[1.38692729],[2.41045328],[0.01632653],[0.048],[-0.10107271],[2.87492729]
3031,[2.97666752],[0.56110378],[20.08724788],[2.98788959],[0.93581707],[0.52026712],[0.68116358],[0.01632653],[0.048],[-0.96773288],[2.00826712]
3032,[-1.19977814],[4.13989398],[11.84024132],[-1.11698026],[4.01567673],[3.70349227],[5.42291503],[0.01632653],[0.048],[2.21549227],[5.19149227]
3033,[1.91505581],[0.15601234],[13.0128823],[1.91817606],[0.2485283],[-0.00576504],[0.63163786],[0.01632653],[0.048],[-1.49376504],[1.48223496]
3034,[-4.40490821],[-4.75998255],[-20.65339257],[-4.50010786],[-4.64559057],[-5.70439167],[-1.98341973],[0.01632653],[0.048],[-7.19239167],[-4.21639167]
3035,[3.15532337],[1.78638519],[-28.03556693],[3.19105107],[1.1015754],[1.67631981],[2.10997743],[0.01632653],[0.048],[0.18831981],[3.16431981]
3036,[-4.11738237],[-1.82557172],[-12.03850527],[-4.15389381],[-2.12385802],[-2.082387],[-1.07053479],[0.01632653],[0.048],[-3.570387],[-0.594387]
3037,[-0.32968057],[-1.41211639],[-8.4038593],[-0.3579229],[-1.46491099],[-1.42865091],[-1.36350492],[0.01632653],[0.048],[-2.91665091],[0.05934909]
3038,[2.79979156],[0.27332575],[-8.52972378],[2.80525807],[0.02833701],[0.21195456],[0.45375704],[0.01632653],[0.048],[-1.27604544],[1.69995456]
3039,[-3.48985562],[3.27179462],[2.03468557],[-3.42441972],[2.90663373],[2.84275712],[4.53316489],[0.01632653],[0.048],[1.35475712],[4.33075712]
3040,[-2.57814876],[2.6036897],[7.68894401],[-2.52607496],[2.64577087],[2.45755798],[3.03331694],[0.01632653],[0.048],[0.96955798],[3.94555798]
3041,[-3.82435944],[-2.83335148],[-17.63304845],[-3.88102647],[-3.06085533],[-3.21887834],[-1.6999025],[0.01632653],[0.048],[-4.70687834],[-1.73087834]
3042,[-4.43687917],[0.28944131],[-14.04195088],[-4.43109034],[-0.18658765],[0.12208165],[0.78147872],[0.01632653],[0.048],[-1.36591835],[1.61008165]
3043,[1.4738546],[-2.75570263],[20.3876635],[1.41874055],[-2.27647786],[-3.18766113],[-1.48574467],[0.01632653],[0.048],[-4.67566113],[-1.69966113]
3044,[4.45985293],[2.77807663],[-16.99370994],[4.51541446],[2.35961698],[2.67274007],[3.08776611],[0.01632653],[0.048],[1.18474007],[4.16074007]
3045,[1.65312502],[1.13364854],[9.01223669],[1.67579799],[1.09297878],[0.919067],[1.76451825],[0.01632653],[0.048],[-0.568933],[2.407067]
3046,[-0.61178487],[-2.2857306],[9.31791373],[-0.65749949],[-1.81952739],[-2.37146161],[-2.03368142],[0.01632653],[0.048],[-3.85946161],[-0.88346161]
3047,[4.95909998],[-2.67067798],[9.59086287],[4.90568642],[-2.06241458],[-2.75558804],[-2.42104239],[0.01632653],[0.048],[-4.24358804],[-1.26758804]
3048,[-1.01502567],[0.40243782],[18.60276645],[-1.00697691],[0.94496762],[0.53769256],[0.0047889],[0.01632653],[0.048],[-0.95030744],[2.02569256]
3049,[4.32324964],[-3.43148225],[-4.34318404],[4.25462],[-2.97199146],[-3.68401683],[-2.68903058],[0.01632653],[0.048],[-5.17201683],[-2.19601683]
3050,[-4.57795195],[1.80881744],[0.92167477],[-4.5417756],[1.53743328],[1.52666285],[2.63835193],[0.01632653],[0.048],[0.03866285],[3.01466285]
3051,[-0.83631899],[3.48039652],[4.80816871],[-0.76671106],[3.3351917],[3.1853534],[4.34782329],[0.01632653],[0.048],[1.6973534],[4.6733534]
3052,[-3.89078816],[2.2485575],[6.80732287],[-3.84581701],[2.09947872],[1.95709077],[3.10546967],[0.01632653],[0.048],[0.46909077],[3.44509077]
3053,[-4.35092528],[-4.25095053],[16.68429641],[-4.43594429],[-3.50250965],[-5.03416665],[-1.94829516],[0.01632653],[0.048],[-6.52216665],[-3.54616665]
3054,[-2.77435282],[-0.66231315],[14.94839533],[-2.78759909],[-0.26772819],[-0.61925068],[-0.78891679],[0.01632653],[0.048],[-2.10725068],[0.86874932]
3055,[-4.19791726],[3.92831981],[21.30812373],[-4.11935086],[3.71522026],[3.24704692],[5.93126213],[0.01632653],[0.048],[1.75904692],[4.73504692]
3056,[-1.27840252],[-1.6689455],[7.97758046],[-1.31178143],[-1.2351988],[-1.60596629],[-1.85410438],[0.01632653],[0.048],[-3.09396629],[-0.11796629]
3057,[-3.55629735],[-1.764215],[4.46226417],[-3.59158165],[-1.64558621],[-1.94177678],[-1.24218337],[0.01632653],[0.048],[-3.42977678],[-0.45377678]
3058,[2.31130953],[3.55771026],[9.11847771],[2.38246373],[3.20385282],[2.9944466],[5.21370542],[0.01632653],[0.048],[1.5064466],[4.4824466]
3059,[0.21718018],[-1.9735866],[-29.93323249],[0.17770845],[-2.51495803],[-2.14655423],[-1.46506179],[0.01632653],[0.048],[-3.63455423],[-0.65855423]
3060,[0.74967222],[-1.01475782],[25.21142533],[0.72937707],[-0.58702292],[-1.1674113],[-0.56595659],[0.01632653],[0.048],[-2.6554113],[0.3205887]
3061,[2.01595489],[-1.33870505],[-27.42578298],[1.98918079],[-2.02049907],[-1.55492056],[-0.70303146],[0.01632653],[0.048],[-3.04292056],[-0.06692056]
3062,[4.53804317],[3.46582189],[-19.01784156],[4.6073596],[2.87166246],[3.21516215],[4.2027615],[0.01632653],[0.048],[1.72716215],[4.70316215]
3063,[2.97164638],[0.80877091],[0.45120722],[2.98782179],[0.76321661],[0.75539794],[0.96568746],[0.01632653],[0.048],[-0.73260206],[2.24339794]
3064,[-3.82175574],[3.81157087],[-27.25909085],[-3.74552432],[2.66149576],[3.20218387],[5.60316866],[0.01632653],[0.048],[1.71418387],[4.69018387]
3065,[1.78549535],[-4.64949931],[19.94068173],[1.69250537],[-3.72839428],[-5.56208597],[-1.96649452],[0.01632653],[0.048],[-7.05008597],[-4.07408597]
3066,[4.19322442],[3.81098494],[9.13306508],[4.26944412],[3.69979149],[3.45404379],[4.86039192],[0.01632653],[0.048],[1.96604379],[4.94204379]
3067,[4.12832518],[-3.67712184],[24.58268002],[4.05478275],[-2.57683792],[-4.00521981],[-2.71251381],[0.01632653],[0.048],[-5.49321981],[-2.51721981]
3068,[-2.5997098],[4.51977772],[-11.28090344],[-2.50931424],[3.72865567],[3.89977354],[6.34259002],[0.01632653],[0.048],[2.41177354],[5.38777354]
3069,[-2.56971982],[2.25212824],[-28.30318672],[-2.52467726],[1.60115458],[2.1660751],[2.50512447],[0.01632653],[0.048],[0.6780751],[3.6540751]
3070,[3.98191796],[1.53013986],[29.42515667],[4.01252076],[2.20587149],[1.57259265],[1.40532867],[0.01632653],[0.048],[0.08459265],[3.06059265]
3071,[3.41149969],[1.50710574],[-27.43218906],[3.44164181],[0.91171132],[1.47138493],[1.61212493],[0.01632653],[0.048],[-0.01661507],[2.95938493]
3072,[-4.26313278],[-2.99756002],[-6.5676006],[-4.32308398],[-3.01577622],[-3.46158186],[-1.6333358],[0.01632653],[0.048],[-4.94958186],[-1.97358186]
3073,[-0.54802426],[0.50565781],[-21.11345928],[-0.5379111],[0.15804667],[0.5823239],[0.2802595],[0.01632653],[0.048],[-0.9056761],[2.0703239]
3074,[-3.13104119],[-0.12378281],[-21.88344565],[-3.13351684],[-0.57420768],[-0.1248443],[-0.120662],[0.01632653],[0.048],[-1.6128443],[1.3631557]
3075,[3.2561417],[-1.11414319],[-11.1185859],[3.23385884],[-1.28207562],[-1.14000801],[-1.03810063],[0.01632653],[0.048],[-2.62800801],[0.34799199]
3076,[1.26786165],[-0.22583983],[-3.86838783],[1.26334486],[-0.48450769],[-0.39075108],[0.25899924],[0.01632653],[0.048],[-1.87875108],[1.09724892]
3077,[4.62346395],[1.03200302],[1.9036007],[4.64410401],[1.22434916],[1.160806],[0.65332226],[0.01632653],[0.048],[-0.327194],[2.648806]
3078,[-1.0889957],[3.91981085],[-20.19460388],[-1.01059948],[3.17729854],[3.53687281],[5.04564868],[0.01632653],[0.048],[2.04887281],[5.02487281]
3079,[2.71338733],[-3.91233397],[6.94323418],[2.63514065],[-3.35573421],[-4.51255682],[-2.14767879],[0.01632653],[0.048],[-6.00055682],[-3.02455682]
3080,[-4.91816594],[-3.56587876],[12.70363365],[-4.98948352],[-3.0804486],[-4.17172434],[-1.78469277],[0.01632653],[0.048],[-5.65972434],[-2.68372434]
3081,[1.14434756],[0.18146385],[15.34221348],[1.14797684],[0.32975848],[0.02459481],[0.64265884],[0.01632653],[0.048],[-1.46340519],[1.51259481]
3082,[-4.70912641],[-4.77787364],[18.59585783],[-4.80468388],[-3.85098018],[-5.73607105],[-1.96077325],[0.01632653],[0.048],[-7.22407105],[-4.24807105]
3083,[3.42106051],[4.02225963],[-1.53777024],[3.50150571],[3.52403879],[3.50841019],[5.532977],[0.01632653],[0.048],[2.02041019],[4.99641019]
3084,[3.99124741],[-2.05240158],[-17.53025807],[3.95019937],[-2.14034073],[-2.0734396],[-1.99054979],[0.01632653],[0.048],[-3.5614396],[-0.5854396]
3085,[-3.41639557],[-3.45476793],[-25.43223425],[-3.48549092],[-3.65206093],[-3.91447629],[-2.10322534],[0.01632653],[0.048],[-5.40247629],[-2.42647629]
3086,[-3.09918204],[-2.15364216],[-22.4529198],[-3.14225488],[-2.46258816],[-2.30878583],[-1.69751978],[0.01632653],[0.048],[-3.79678583],[-0.82078583]
3087,[3.05373681],[-3.43215859],[-27.81353001],[2.98509364],[-3.64942299],[-3.85555469],[-2.18737407],[0.01632653],[0.048],[-5.34355469],[-2.36755469]
3088,[-0.61831717],[-1.53597178],[-7.94008153],[-0.64903661],[-1.51914259],[-1.52197355],[-1.57712659],[0.01632653],[0.048],[-3.00997355],[-0.03397355]
3089,[0.76312444],[2.67705111],[-10.24462831],[0.81666546],[2.10750933],[2.31107952],[3.75300758],[0.01632653],[0.048],[0.82307952],[3.79907952]
3090,[-0.06381398],[1.28770033],[-26.68723484],[-0.03805997],[0.69397207],[1.23894282],[1.4310474],[0.01632653],[0.048],[-0.24905718],[2.72694282]
3091,[2.44452609],[-2.01667562],[-16.41372017],[2.40419257],[-2.34715605],[-2.26744398],[-1.27941665],[0.01632653],[0.048],[-3.75544398],[-0.77944398]
3092,[-4.14152711],[4.18051862],[-8.62156672],[-4.05791674],[3.28489702],[3.43361606],[6.37641213],[0.01632653],[0.048],[1.94561606],[4.92161606]
3093,[3.45852728],[-3.58564875],[15.53648262],[3.3868143],[-2.79185046],[-3.97889348],[-2.42950924],[0.01632653],[0.048],[-5.46689348],[-2.49089348]
3094,[-2.92781632],[-1.04328849],[-6.00721393],[-2.94868209],[-1.09142903],[-1.04739116],[-1.03122663],[0.01632653],[0.048],[-2.53539116],[0.44060884]
3095,[2.55772206],[-2.34533674],[15.10933735],[2.51081533],[-1.95710236],[-2.63026625],[-1.50764398],[0.01632653],[0.048],[-4.11826625],[-1.14226625]
3096,[3.71600941],[-2.07783176],[9.45943358],[3.67445277],[-1.63945095],[-2.13749415],[-1.90242434],[0.01632653],[0.048],[-3.62549415],[-0.64949415]
3097,[4.39057798],[0.54684268],[-19.62446759],[4.40151483],[0.30627985],[0.69408088],[0.11396236],[0.01632653],[0.048],[-0.79391912],[2.18208088]
3098,[2.88350883],[-4.21678175],[-9.1454409],[2.79917319],[-3.88585715],[-4.87540308],[-2.28043505],[0.01632653],[0.048],[-6.36340308],[-3.38740308]
3099,[0.56699191],[4.93248364],[-13.64023609],[0.66564158],[3.77443626],[4.00050847],[7.67249065],[0.01632653],[0.048],[2.51250847],[5.48850847]
3100,[0.69169512],[-4.91608988],[7.7478999],[0.59337333],[-4.10607288],[-5.85947346],[-2.14254215],[0.01632653],[0.048],[-7.34747346],[-4.37147346]
3101,[3.73587669],[3.25047769],[25.45977707],[3.80088625],[3.54647267],[2.97809761],[4.05127511],[0.01632653],[0.048],[1.49009761],[4.46609761]
3102,[3.13181087],[-3.62756514],[-12.29122664],[3.05925956],[-3.46327928],[-4.08540514],[-2.28151554],[0.01632653],[0.048],[-5.57340514],[-2.59740514]
3103,[1.85234015],[2.57177409],[0.27672783],[1.90377564],[2.18579063],[2.17945649],[3.72518784],[0.01632653],[0.048],[0.69145649],[3.66745649]
3104,[0.83005829],[-1.57843041],[-28.33341928],[0.79848968],[-2.22857886],[-1.79103349],[-0.95337738],[0.01632653],[0.048],[-3.27903349],[-0.30303349]
3105,[0.72413967],[1.1403833],[-25.73339564],[0.74694733],[0.44102804],[0.9815778],[1.60727147],[0.01632653],[0.048],[-0.5064222],[2.4695778]
3106,[2.62578685],[1.92051739],[21.88576533],[2.66419719],[2.16365026],[1.70787129],[2.54569692],[0.01632653],[0.048],[0.21987129],[3.19587129]
3107,[-0.11138032],[-3.03622412],[-28.55202305],[-0.1721048],[-3.31792194],[-3.33776943],[-2.14968092],[0.01632653],[0.048],[-4.82576943],[-1.84976943]
3108,[4.03712311],[4.21551448],[20.05184479],[4.1214334],[4.21122571],[3.73180362],[5.63762441],[0.01632653],[0.048],[2.24380362],[5.21980362]
3109,[4.85124287],[-0.16260231],[18.673867],[4.84799083],[0.41225524],[0.00106708],[-0.64379033],[0.01632653],[0.048],[-1.48693292],[1.48906708]
3110,[-4.67103756],[3.40083202],[-10.63236979],[-4.60302092],[2.6233905],[2.83123466],[5.07544828],[0.01632653],[0.048],[1.34323466],[4.31923466]
3111,[2.82078248],[3.05795102],[27.52427617],[2.8819415],[3.2710882],[2.67996986],[4.16921564],[0.01632653],[0.048],[1.19196986],[4.16796986]
3112,[0.14030256],[-2.26109627],[-26.41395051],[0.09508064],[-2.67628165],[-2.46331219],[-1.66658147],[0.01632653],[0.048],[-3.95131219],[-0.97531219]
3113,[2.425112],[-2.31348836],[1.70666809],[2.37884224],[-2.22880879],[-2.6110746],[-1.43858482],[0.01632653],[0.048],[-4.0990746],[-1.1230746]
3114,[0.18623641],[1.49538807],[15.25325379],[0.21614417],[1.70905731],[1.3847454],[1.82067754],[0.01632653],[0.048],[-0.1032546],[2.8727454]
3115,[-2.07239458],[-1.803389],[25.43216368],[-2.10846236],[-1.00493305],[-1.77011761],[-1.90120692],[0.01632653],[0.048],[-3.25811761],[-0.28211761]
3116,[-1.16966426],[-1.72217229],[-22.7981124],[-1.20410771],[-1.93013343],[-1.67164314],[-1.87072798],[0.01632653],[0.048],[-3.15964314],[-0.18364314]
3117,[3.66579934],[1.0869084],[-12.38537902],[3.68753751],[0.88342656],[1.12819606],[0.96552268],[0.01632653],[0.048],[-0.35980394],[2.61619606]
3118,[-3.91373498],[-1.38043942],[-8.64412839],[-3.94134377],[-1.62873953],[-1.56604542],[-0.83475776],[0.01632653],[0.048],[-3.05404542],[-0.07804542]
3119,[-1.96968727],[-3.37796224],[1.02560616],[-2.03724652],[-2.81907168],[-3.61855757],[-2.67061198],[0.01632653],[0.048],[-5.10655757],[-2.13055757]
3120,[-2.4940269],[3.20354086],[-22.02444475],[-2.42995608],[2.5294911],[2.94891121],[3.95215201],[0.01632653],[0.048],[1.46091121],[4.43691121]
3121,[3.79908066],[-2.48003338],[18.17101398],[3.74947999],[-1.78937162],[-2.59150201],[-2.1523156],[0.01632653],[0.048],[-4.07950201],[-1.10350201]
3122,[-1.46428329],[-3.80586621],[20.61711843],[-1.54040061],[-2.72890719],[-4.14021313],[-2.82288627],[0.01632653],[0.048],[-5.62821313],[-2.65221313]
3123,[-0.11059267],[0.09742054],[-21.50005148],[-0.10864426],[-0.32710341],[0.11338061],[0.05049792],[0.01632653],[0.048],[-1.37461939],[1.60138061]
3124,[-1.56597851],[3.19220359],[26.83486036],[-1.50213444],[3.61334298],[3.00693156],[3.73690335],[0.01632653],[0.048],[1.51893156],[4.49493156]
3125,[0.98215108],[0.44882448],[-24.29145363],[0.99112757],[-0.21771284],[0.29941309],[0.88809395],[0.01632653],[0.048],[-1.18858691],[1.78741309]
3126,[-2.37361727],[-0.71037837],[15.0081084],[-2.38782484],[-0.24997903],[-0.61303153],[-0.99657807],[0.01632653],[0.048],[-2.10103153],[0.87496847]
3127,[0.75474239],[-1.11670752],[-14.07576431],[0.73240824],[-1.50009944],[-1.27747993],[-0.64403665],[0.01632653],[0.048],[-2.76547993],[0.21052007]
3128,[-3.51479128],[2.7396258],[16.45377957],[-3.45999876],[2.772067],[2.41699803],[3.68815145],[0.01632653],[0.048],[0.92899803],[3.90499803]
3129,[-1.60049282],[-1.14673298],[6.8171594],[-1.62342748],[-0.77535558],[-1.02596016],[-1.50180509],[0.01632653],[0.048],[-2.51396016],[0.46203984]
3130,[-2.6836351],[-3.32414013],[14.86195855],[-2.7501179],[-2.57761921],[-3.63307524],[-2.4158709],[0.01632653],[0.048],[-5.12107524],[-2.14507524]
3131,[2.95065745],[4.43189457],[7.75551421],[3.03929534],[3.92921325],[3.72013342],[6.52447235],[0.01632653],[0.048],[2.23213342],[5.20813342]
3132,[-0.21560551],[2.46180602],[-29.85678683],[-0.16636939],[1.68993968],[2.28651182],[2.97717097],[0.01632653],[0.048],[0.79851182],[3.77451182]
3133,[4.53051641],[-1.01663832],[4.92034027],[4.51018364],[-0.6963458],[-0.88886317],[-1.39229724],[0.01632653],[0.048],[-2.37686317],[0.59913683]
3134,[-4.8628841],[-4.34862369],[-24.74499077],[-4.94985658],[-4.44655089],[-5.16979543],[-1.93437877],[0.01632653],[0.048],[-6.65779543],[-3.68179543]
3135,[-4.05249952],[1.98818695],[15.65719884],[-4.01273578],[2.03822103],[1.71639877],[2.7872442],[0.01632653],[0.048],[0.22839877],[3.20439877]
3136,[3.23303477],[3.09953006],[14.80454828],[3.29502537],[3.11606684],[2.7812447],[4.03528901],[0.01632653],[0.048],[1.2932447],[4.2692447]
3137,[4.55170429],[3.24921001],[-5.38861119],[4.61668849],[2.98542907],[3.04910381],[3.83752224],[0.01632653],[0.048],[1.56110381],[4.53710381]
3138,[2.07534563],[-0.79429789],[-4.91118799],[2.05945967],[-1.03947061],[-0.96588603],[-0.28982875],[0.01632653],[0.048],[-2.45388603],[0.52211397]
3139,[4.25816952],[-0.36606837],[15.42098868],[4.25084815],[0.1287013],[-0.22157391],[-0.79088209],[0.01632653],[0.048],[-1.70957391],[1.26642609]
3140,[2.46330553],[4.16049553],[21.80739576],[2.54651544],[3.94285107],[3.45541139],[6.23344291],[0.01632653],[0.048],[1.96741139],[4.94341139]
3141,[-1.04390096],[0.98748503],[19.44757259],[-1.02415126],[1.52440389],[1.09719956],[0.66492431],[0.01632653],[0.048],[-0.39080044],[2.58519956]
3142,[-1.74166295],[-4.51297071],[7.09860878],[-1.83192236],[-3.53077445],[-5.05170505],[-2.92909173],[0.01632653],[0.048],[-6.53970505],[-3.56370505]
3143,[-0.12424105],[4.53232285],[28.993871],[-0.03359459],[4.5063905],[3.84237315],[6.56077495],[0.01632653],[0.048],[2.35437315],[5.33037315]
3144,[-3.82470035],[-0.88840977],[-10.53966662],[-3.84246855],[-1.19911641],[-1.02431124],[-0.48885944],[0.01632653],[0.048],[-2.51231124],[0.46368876]
3145,[-0.04024168],[2.7858527],[-4.0889327],[0.01547538],[2.46333995],[2.52263399],[3.55971571],[0.01632653],[0.048],[1.03463399],[4.01063399]
3146,[-0.58400687],[-0.59141348],[12.42962129],[-0.59583514],[-0.22020038],[-0.51287469],[-0.82231754],[0.01632653],[0.048],[-2.00087469],[0.97512531]
3147,[-4.30441468],[1.5117407],[24.60644413],[-4.27417987],[1.7776391],[1.2759206],[2.20505177],[0.01632653],[0.048],[-0.2120794],[2.7639206]
3148,[3.77038292],[-4.42815681],[24.15813045],[3.68181978],[-3.18822879],[-5.00768103],[-2.72435559],[0.01632653],[0.048],[-6.49568103],[-3.51968103]
3149,[-4.80856193],[-1.45721215],[-8.43051469],[-4.83770617],[-1.75192878],[-1.70050019],[-0.7419453],[0.01632653],[0.048],[-3.18850019],[-0.21250019]
3150,[0.75955987],[-0.20762342],[27.55509198],[0.75540741],[0.23608719],[-0.32746064],[0.14469803],[0.01632653],[0.048],[-1.81546064],[1.16053936]
3151,[-2.12370352],[-2.76245967],[-7.62808526],[-2.17895271],[-2.51697815],[-2.88457525],[-2.40343986],[0.01632653],[0.048],[-4.37257525],[-1.39657525]
3152,[4.88879092],[-0.80702139],[7.75789873],[4.87265049],[-0.44054743],[-0.66589695],[-1.22192725],[0.01632653],[0.048],[-2.15389695],[0.82210305]
3153,[-0.81919261],[3.58966944],[2.05933515],[-0.74739922],[3.36050591],[3.26602692],[4.54117844],[0.01632653],[0.048],[1.77802692],[4.75402692]
3154,[0.8076389],[-3.2017967],[-0.62744925],[0.74360296],[-3.02533917],[-3.67947477],[-1.79742319],[0.01632653],[0.048],[-5.16747477],[-2.19147477]
