,xk,wk,uk,xkp1,wkp1,fL_k,fU_k,gL_k,gU_k,fBL_k,fBU_k
38,[-2.2836369],[-0.42149029],[-17.96820253],[-2.2920667],[-0.64613784],[-0.3024466],[-0.77147871],[0.01632653],[0.048],[-1.7904466],[1.1855534]
39,[-2.14376276],[4.47099092],[8.43400117],[-2.05434294],[4.16566823],[3.92080645],[6.08853323],[0.01632653],[0.048],[2.43280645],[5.40880645]
40,[2.86573446],[-1.15610759],[-17.61387388],[2.84261231],[-1.5287683],[-1.25041807],[-0.87883479],[0.01632653],[0.048],[-2.73841807],[0.23758193]
41,[-0.35520634],[4.23772452],[2.5317961],[-0.27045185],[3.78547952],[3.67461228],[5.89327452],[0.01632653],[0.048],[2.18661228],[5.16261228]
42,[-4.14191532],[2.96266009],[-16.93652768],[-4.08266212],[2.17129969],[2.51577628],[4.2764985],[0.01632653],[0.048],[1.02777628],[4.00377628]
43,[3.74197626],[-3.58574134],[-4.91472932],[3.67026143],[-3.17017598],[-3.93632368],[-2.55502926],[0.01632653],[0.048],[-5.42432368],[-2.44832368]
44,[0.73262519],[-2.63356516],[9.67403317],[0.67995389],[-2.33850134],[-2.98780354],[-1.5921043],[0.01632653],[0.048],[-4.47580354],[-1.49980354]
45,[2.66208976],[1.51006249],[7.50908411],[2.69229101],[1.50491661],[1.35135894],[1.9766509],[0.01632653],[0.048],[-0.13664106],[2.83935894]
46,[-1.86448109],[0.96682524],[11.24463202],[-1.84514459],[1.34989099],[1.09357242],[0.59418854],[0.01632653],[0.048],[-0.39442758],[2.58157242]
47,[1.19205419],[1.2287299],[-25.00214444],[1.21662879],[0.48697697],[1.01777272],[1.84894401],[0.01632653],[0.048],[-0.47022728],[2.50577272]
48,[-1.46938066],[0.30209974],[-12.71008471],[-1.46333866],[0.22167956],[0.46428928],[-0.17473752],[0.01632653],[0.048],[-1.02371072],[1.95228928]
49,[1.90600526],[-1.42342168],[-5.44872544],[1.87753683],[-1.64861236],[-1.65475187],[-0.7433109],[0.01632653],[0.048],[-3.14275187],[-0.16675187]
50,[-2.86836163],[-2.7250008],[-6.35575197],[-2.92286164],[-2.56760443],[-2.93795985],[-2.0989012],[0.01632653],[0.048],[-4.42595985],[-1.44995985]
51,[-2.66038913],[-2.17288355],[-13.80639129],[-2.7038468],[-2.22066064],[-2.260047],[-1.91662301],[0.01632653],[0.048],[-3.748047],[-0.772047]
52,[1.64531114],[0.48739334],[-10.48097597],[1.65505901],[0.07446494],[0.3088421],[1.01233398],[0.01632653],[0.048],[-1.1791579],[1.7968421]
53,[2.71379919],[0.54573254],[-26.35566053],[2.72471384],[-0.09210945],[0.46323858],[0.78826478],[0.01632653],[0.048],[-1.02476142],[1.95123858]
54,[2.31720108],[-4.97760202],[-29.47493457],[2.21764904],[-4.93720904],[-5.95820291],[-2.09463541],[0.01632653],[0.048],[-7.44620291],[-4.47020291]
55,[2.48166322],[-1.02980058],[23.21684156],[2.46106721],[-0.62612137],[-1.17199898],[-0.6117373],[0.01632653],[0.048],[-2.65999898],[0.31600102]
56,[3.96299457],[-0.98925668],[-4.44705496],[3.94320943],[-0.91158136],[-0.90195247],[-1.24593105],[0.01632653],[0.048],[-2.38995247],[0.58604753]
57,[4.24454033],[2.19768874],[4.94103263],[4.2884941],[2.3129373],[2.17919558],[2.25205862],[0.01632653],[0.048],[0.69119558],[3.66719558]
58,[4.77945593],[4.29307425],[10.25337793],[4.86531741],[4.10630675],[3.82320483],[5.67449034],[0.01632653],[0.048],[2.33520483],[5.31120483]
59,[-4.25907019],[-3.5620368],[-11.23877606],[-4.33031093],[-3.55907078],[-4.15347287],[-1.82321477],[0.01632653],[0.048],[-5.64147287],[-2.66547287]
60,[4.35983577],[-2.45536365],[14.95204943],[4.31072849],[-1.77519218],[-2.50746732],[-2.30217886],[0.01632653],[0.048],[-3.99546732],[-1.01946732]
61,[-4.07033651],[-4.87180432],[9.32986307],[-4.1677726],[-4.07000936],[-5.82770917],[-2.06144409],[0.01632653],[0.048],[-7.31570917],[-4.33970917]
62,[-1.52459765],[-1.02968755],[13.20099828],[-1.5451914],[-0.53391354],[-0.90023388],[-1.41028135],[0.01632653],[0.048],[-2.38823388],[0.58776612]
63,[4.28895459],[4.03912047],[17.9069735],[4.369737],[4.06173988],[3.62773084],[5.24860599],[0.01632653],[0.048],[2.13973084],[5.11573084]
64,[2.24546693],[-1.29973446],[12.85324123],[2.21947224],[-1.12351715],[-1.49190717],[-0.73474669],[0.01632653],[0.048],[-2.97990717],[-0.00390717]
65,[-2.01772862],[3.74341777],[-17.74948132],[-1.94286027],[3.09565198],[3.40973458],[4.72444636],[0.01632653],[0.048],[1.92173458],[4.89773458]
66,[-2.20471609],[4.09445795],[-24.49809119],[-2.12282693],[3.20017826],[3.64968636],[5.40208641],[0.01632653],[0.048],[2.16168636],[5.13768636]
67,[3.18267827],[-4.44858335],[-9.71162994],[3.0937066],[-4.00973659],[-5.12655455],[-2.45534803],[0.01632653],[0.048],[-6.61455455],[-3.63855455]
68,[2.54358262],[2.09805021],[-6.83017743],[2.58554362],[1.70802299],[1.84904091],[2.83013755],[0.01632653],[0.048],[0.36104091],[3.33704091]
69,[-4.37119319],[-3.15137835],[-17.47300485],[-4.43422075],[-3.37437413],[-3.6550305],[-1.67064105],[0.01632653],[0.048],[-5.1430305],[-2.1670305]
70,[-1.84185189],[-4.86562091],[25.12600553],[-1.93916431],[-3.40682925],[-5.52212962],[-2.93548531],[0.01632653],[0.048],[-7.01012962],[-4.03412962]
71,[3.9116565],[-1.3024781],[28.67441444],[3.88560694],[-0.51948533],[-1.24598565],[-1.46856589],[0.01632653],[0.048],[-2.73398565],[0.24201435]
72,[-1.52830085],[-2.45572259],[6.26236771],[-1.5774153],[-1.94583825],[-2.49767458],[-2.33238372],[0.01632653],[0.048],[-3.98567458],[-1.00967458]
73,[3.75485434],[-3.88489839],[-11.68614073],[3.67715638],[-3.53700719],[-4.31078276],[-2.63279836],[0.01632653],[0.048],[-5.79878276],[-2.82278276]
74,[-2.49675338],[-1.26060151],[-29.59336439],[-2.52196541],[-1.71093909],[-1.21643457],[-1.39045231],[0.01632653],[0.048],[-2.70443457],[0.27156543]
75,[4.80234934],[-0.38137626],[-18.65452227],[4.79472182],[-0.5781762],[-0.22087115],[-0.85326127],[0.01632653],[0.048],[-1.70887115],[1.26712885]
76,[-2.43818192],[-2.66973626],[24.07925725],[-2.49157664],[-1.81838621],[-2.80888584],[-2.26063651],[0.01632653],[0.048],[-4.29688584],[-1.32088584]
77,[4.54979473],[4.13942709],[12.13292973],[4.63258327],[4.03046141],[3.71240205],[5.39488073],[0.01632653],[0.048],[2.22440205],[5.20040205]
78,[1.51683334],[-2.56123142],[6.98946587],[1.46560871],[-2.39421888],[-2.95807201],[-1.3945201],[0.01632653],[0.048],[-4.44607201],[-1.47007201]
79,[-0.62436341],[3.77549771],[12.91302953],[-0.54885346],[3.70142736],[3.38004286],[4.93813497],[0.01632653],[0.048],[1.89204286],[4.86804286]
80,[-0.98070454],[0.17114459],[21.89669249],[-0.97728165],[0.78301089],[0.30784003],[-0.23074003],[0.01632653],[0.048],[-1.18015997],[1.79584003]
81,[-1.41996688],[-4.06733114],[-21.67291332],[-1.5013135],[-3.80576836],[-4.47363909],[-2.87278578],[0.01632653],[0.048],[-5.96163909],[-2.98563909]
82,[-1.76414893],[-3.52723143],[9.09842096],[-1.83469356],[-2.75676638],[-3.79328871],[-2.74502305],[0.01632653],[0.048],[-5.28128871],[-2.30528871]
83,[-3.59038052],[1.4248892],[0.71959952],[-3.56188273],[1.29157735],[1.27943596],[1.85252174],[0.01632653],[0.048],[-0.20856404],[2.76743596]
84,[-2.65037557],[-4.22351781],[17.77033128],[-2.73484592],[-3.19460079],[-4.76160242],[-2.64154906],[0.01632653],[0.048],[-6.24960242],[-3.27360242]
85,[1.22543545],[-2.66739367],[29.52189832],[1.17208757],[-2.00377617],[-3.07367494],[-1.47292674],[0.01632653],[0.048],[-4.56167494],[-1.58567494]
86,[-4.02717533],[-0.48188371],[-16.90139377],[-4.03681301],[-0.96989063],[-0.62268197],[-0.06793681],[0.01632653],[0.048],[-2.11068197],[0.86531803]
87,[-3.0127961],[0.34799579],[-5.34322895],[-3.00583618],[0.25470073],[0.36315189],[0.30343685],[0.01632653],[0.048],[-1.12484811],[1.85115189]
88,[3.84765746],[3.36367678],[10.48873269],[3.914931],[3.34118364],[3.08045817],[4.19633949],[0.01632653],[0.048],[1.59245817],[4.56845817]
89,[-2.84880324],[-3.54106701],[29.03367049],[-2.91962458],[-2.48089246],[-3.92723417],[-2.40573554],[0.01632653],[0.048],[-5.41523417],[-2.43923417]
90,[0.38683312],[-2.47216968],[6.49375548],[0.33738973],[-2.21526381],[-2.7488526],[-1.65872187],[0.01632653],[0.048],[-4.2368526],[-1.2608526]
91,[2.9423644],[1.93040359],[15.2834416],[2.98097247],[2.09011381],[1.76621052],[2.4131312],[0.01632653],[0.048],[0.27821052],[3.25421052]
92,[-3.18505029],[-0.55285498],[-13.00506804],[-3.19610738],[-0.81944574],[-0.57302921],[-0.49354272],[0.01632653],[0.048],[-2.06102921],[0.91497079]
93,[1.46357809],[1.17087838],[-21.87790669],[1.48699566],[0.48570116],[0.95373448],[1.80928146],[0.01632653],[0.048],[-0.53426552],[2.44173448]
94,[2.54317791],[2.83647483],[22.39831052],[2.5999074],[2.93833685],[2.46173018],[3.93822411],[0.01632653],[0.048],[0.97373018],[3.94973018]
95,[4.61110416],[2.38140933],[-27.16336411],[4.65873234],[1.82195156],[2.35114424],[2.47038869],[0.01632653],[0.048],[0.86314424],[3.83914424]
96,[0.48850116],[-2.65669578],[15.83922195],[0.43536725],[-2.19236027],[-2.9815327],[-1.70167525],[0.01632653],[0.048],[-4.4695327],[-1.4935327]
97,[-0.98037808],[2.98102001],[5.89946167],[-0.92075767],[2.97770971],[2.8121877],[3.47738698],[0.01632653],[0.048],[1.3241877],[4.3001877]
98,[-3.13698727],[1.7125828],[7.07831602],[-3.10273561],[1.76483329],[1.60988653],[2.01450983],[0.01632653],[0.048],[0.12188653],[3.09788653]
99,[1.433199],[0.66968225],[-6.23495615],[1.44659264],[0.34012749],[0.48498112],[1.21270357],[0.01632653],[0.048],[-1.00301888],[1.97298112]
100,[3.1027225],[3.95790309],[23.22173133],[3.18188057],[3.93202877],[3.40873539],[5.57245612],[0.01632653],[0.048],[1.92073539],[4.89673539]
101,[2.99342062],[-4.95982236],[-22.38180619],[2.89422417],[-4.66669446],[-5.8354948],[-2.38534538],[0.01632653],[0.048],[-7.3234948],[-4.3474948]
102,[4.59392953],[-1.26191479],[15.64092662],[4.56869124],[-0.69913725],[-1.15181768],[-1.58560031],[0.01632653],[0.048],[-2.63981768],[0.33618232]
103,[4.70047373],[-2.8567048],[23.41735477],[4.64333963],[-1.92172663],[-2.97198989],[-2.51776667],[0.01632653],[0.048],[-4.45998989],[-1.48398989]
104,[-0.05844347],[3.96458144],[-14.7413835],[0.02084816],[3.17022802],[3.42998031],[5.53630876],[0.01632653],[0.048],[1.94198031],[4.91798031]
105,[3.22583355],[-2.75741795],[24.08746225],[3.1706852],[-1.99575363],[-3.00780053],[-2.02129318],[0.01632653],[0.048],[-4.49580053],[-1.51980053]
106,[-4.30760211],[1.87482295],[19.77864793],[-4.27010565],[2.00085659],[1.59637983],[2.6934457],[0.01632653],[0.048],[0.10837983],[3.08437983]
107,[3.81213074],[4.8614005],[-11.45370063],[3.90935875],[3.98453102],[4.14866217],[6.95685118],[0.01632653],[0.048],[2.66066217],[5.63666217]
